Index,Book Name,Author,Rating,Number of Votes,Score,Image
1,The Invisible Life of Addie LaRue,Victoria Schwab,4.18,"1,184,531",62443,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
2,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,4.4,"718,243",47323,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
3,Project Hail Mary,Andy Weir,4.51,"657,869",45972,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
4,The Midnight Library,Matt Haig,3.99,"1,967,348",42746,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
5,I'm Glad My Mom Died,Jennette McCurdy,4.46,"1,151,831",37509,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
6,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57,"2,071,618",32490,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
7,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.96,"853,601",24060,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
8,Piranesi,Susanna Clarke,4.23,"323,496",23238,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
9,Lessons in Chemistry,Bonnie Garmus,4.29,"1,444,923",23130,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
10,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,4.47,"815,164",20610,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
11,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,4.15,"1,037,972",20547,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
12,My Dark Vanessa,Kate Elizabeth Russell,4.1,"360,089",20223,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
13,"A Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.47,"1,440,061",19855,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
14,The Vanishing Half,Brit Bennett,4.14,"786,310",19749,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
15,Beach Read,Emily Henry,4,"1,304,135",19244,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
16,The Love Hypothesis,Ali Hazelwood,4.13,"1,513,373",18531,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
17,Babel,R.F. Kuang,4.17,"283,448",17606,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
18,Malibu Rising,Taylor Jenkins Reid,4.03,"1,118,674",15949,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
19,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,4.15,"831,277",14214,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
20,Book Lovers,Emily Henry,4.13,"1,227,947",13253,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
21,The Four Winds,Kristin Hannah,4.3,"752,909",12053,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
22,Under the Whispering Door,T.J. Klune,4.15,"255,962",11155,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
23,Remarkably Bright Creatures,Shelby Van Pelt,4.38,"747,337",10951,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
24,Crying in H Mart,Michelle Zauner,4.26,"472,954",10690,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
25,American Dirt,Jeanine Cummins,4.37,"606,994",10493,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
26,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,4.56,"458,194",10472,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
27,Mexican Gothic,Silvia Moreno-Garcia,3.67,"381,889",10230,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
28,Carrie Soto Is Back,Taylor Jenkins Reid,4.21,"582,332",10119,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
29,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,3.88,"554,250",9686,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
30,The Guest List,Lucy Foley,3.81,"1,092,078",9509,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
31,Sea of Tranquility,Emily St. John Mandel,4.07,"255,450",9469,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
32,Hamnet,Maggie O'Farrell,4.2,"278,386",9414,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
33,"Divine Rivals (Letters of Enchantment, #1)",Rebecca Ross,4.19,"522,099",9312,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
34,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,4.47,"570,729",9220,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
35,"A Deadly Education (The Scholomance, #1)",Naomi Novik,3.96,"186,078",9018,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
36,Klara and the Sun,Kazuo Ishiguro,3.74,"366,566",8602,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
37,Caste: The Origins of Our Discontents,Isabel Wilkerson,4.53,"145,545",7808,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
38,People We Meet on Vacation,Emily Henry,3.86,"1,294,381",7596,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
39,Demon Copperhead,Barbara Kingsolver,4.5,"522,793",7576,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
40,Bell Hammers,Lancelot Schaubert,4.16,662,7575,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
41,Loveless,Alice Oseman,4.2,"108,870",7409,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
42,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,4.35,"1,384,554",7243,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
43,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,4.23,"652,547",6753,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
44,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,4.47,"94,624",6720,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
45,"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus,3.91,"247,549",6648,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
46,"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,4.6,"404,026",6313,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
47,"Legendborn (The Legendborn Cycle, #1)",Tracy Deonn,4.33,"149,321",5812,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
48,"Chain of Gold (The Last Hours, #1)",Cassandra Clare,4.38,"110,522",5559,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
49,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,4.62,"166,878",5465,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
50,"The Burning God (The Poppy War, #3)",R.F. Kuang,4.3,"105,626",5462,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
51,"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky Chambers,4.26,"130,094",5346,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
52,Cloud Cuckoo Land,Anthony Doerr,4.26,"232,060",5252,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
53,The Glass Hotel,Emily St. John Mandel,3.69,"180,282",5131,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
54,"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,4.35,"158,591",4900,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
55,"The Maid (Molly the Maid, #1)",Nita Prose,3.76,"601,905",4845,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
56,A Promised Land,Barack Obama,4.33,"241,230",4796,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
57,Untamed,Glennon Doyle,3.99,"465,230",4653,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
58,Transcendent Kingdom,Yaa Gyasi,4.11,"152,343",4594,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
59,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,3.83,"154,010",4578,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
60,Shuggie Bain,Douglas Stuart,4.31,"163,709",4572,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
61,Greenlights,Matthew McConaughey,4.21,"362,818",4518,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
62,"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly Jackson,4.29,"593,390",4504,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
63,Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,4.37,"54,935",4442,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
64,The Rose Code,Kate Quinn,4.45,"285,773",4410,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
65,Yellowface,R.F. Kuang,3.76,"641,760",4312,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
66,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,4.36,"138,517",4016,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
67,Firekeeper’s Daughter,Angeline Boulley,4.33,"170,689",3948,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
68,"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,4.27,"97,471",3927,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
69,Writers & Lovers,Lily King,4.01,"150,895",3848,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
70,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,4.3,"122,664",3701,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
71,The Sun Down Motel,Simone St. James,4.01,"162,154",3661,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
72,Tress of the Emerald Sea,Brandon Sanderson,4.38,"157,891",3555,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
73,The Push,Ashley Audrain,4.05,"371,278",3534,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
74,Ring Shout,P. Djèlí Clark,3.99,"38,385",3342,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
75,"The Spanish Love Deception (Spanish Love Deception, #1)",Elena Armas,3.82,"731,358",3305,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
76,Felix Ever After,Kacen Callender,4.24,"63,436",3304,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
77,"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,4.01,"103,738",3302,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
78,Long Bright River,Liz Moore,4.04,"118,876",3296,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
79,"The Henna Artist (The Jaipur Trilogy, #1)",Alka Joshi,4.19,"189,390",3291,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
80,The Book of Longings,Sue Monk Kidd,4.23,"129,550",3251,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
81,The Girl with the Louding Voice,Abi Daré,4.43,"157,251",3210,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
82,"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty,4.5,"61,604",3184,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
83,"The Mirror & the Light (Thomas Cromwell, #3)",Hilary Mantel,4.39,"41,120",3100,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
84,Happy Place,Emily Henry,3.98,"1,071,194",2906,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
85,Billy Summers,Stephen King,4.2,"167,384",2892,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
86,"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,4.34,"456,514",2884,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
87,"The City We Became (Great Cities, #1)",N.K. Jemisin,3.86,"73,081",2874,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
88,Home Before Dark,Riley Sager,4.07,"223,593",2747,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
89,Clap When You Land,Elizabeth Acevedo,4.24,"104,220",2728,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
90,"The Guncle (The Guncle, #1)",Steven Rowley,4.13,"158,660",2686,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
91,Dear Edward,Ann Napolitano,4.08,"193,309",2657,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
92,The Book of Lost Names,Kristin Harmel,4.43,"225,508",2607,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
93,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,4.11,"222,680",2598,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
94,One to Watch,Kate Stayman-London,3.88,"95,104",2510,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
95,The Dictionary of Lost Words,Pip Williams,4.02,"156,716",2474,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
96,Oona Out of Order,Margarita Montimore,3.86,"87,075",2450,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
97,The Death of Vivek Oji,Akwaeke Emezi,4.13,"62,746",2435,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
98,The Switch,Beth O'Leary,3.95,"134,746",2276,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
99,Migrations,Charlotte McConaghy,4.13,"79,728",2217,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
100,The Hollow Places,T. Kingfisher,3.8,"40,203",2209,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
101,The Night Watchman,Louise Erdrich,4.1,"79,990",2104,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
102,Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,4.16,"130,582",2103,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
103,The Women,Kristin Hannah,4.63,"741,401",2034,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
104,In a Holidaze,Christina Lauren,3.7,"183,649",2004,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
105,"The Housemaid (The Housemaid, #1)",Freida McFadden,4.32,"1,601,523",1977,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
106,The Last Flight,Julie Clark,4.1,"229,993",1973,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
107,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,4.3,"282,139",1956,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
108,The Book of Two Ways,Jodi Picoult,3.66,"101,225",1871,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
109,28 Summers,Elin Hilderbrand,4.19,"228,748",1784,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
110,The Book of Lost Friends,Lisa Wingate,4.16,"106,743",1772,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
111,"The Winners (Beartown, #3)",Fredrik Backman,4.45,"127,209",1749,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
112,Love on the Brain,Ali Hazelwood,3.91,"506,015",1749,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
113,"The Empress of Salt and Fortune (The Singing Hills Cycle, #1)",Nghi Vo,3.94,"38,098",1715,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
114,The Lincoln Highway,Amor Towles,4.23,"276,987",1707,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
115,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,4.54,"112,898",1671,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
116,All Boys Aren’t Blue,George M. Johnson,4.2,"40,315",1635,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
117,The Pull of the Stars,Emma Donoghue,3.96,"82,440",1635,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
118,"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly Jackson,4.21,"421,594",1634,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
119,"Beautiful World, Where Are You",Sally Rooney,3.53,"421,651",1609,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
120,The Woman in Me,Britney Spears,3.86,"474,778",1599,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
121,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,3.8,"243,285",1567,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
122,"Harlem Shuffle (Ray Carney, #1)",Colson Whitehead,3.74,"73,649",1527,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
123,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,3.82,"90,856",1495,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
124,"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,4.1,"93,564",1491,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
125,"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,4.39,"117,395",1471,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
126,"The Atlas Six (The Atlas, #1)",Olivie Blake,3.58,"230,850",1460,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
127,"Six Crimson Cranes (Six Crimson Cranes, #1)",Elizabeth Lim,4.2,"86,158",1424,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
128,Apples Never Fall,Liane Moriarty,3.76,"389,697",1391,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
129,"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,3.8,"62,547",1371,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
130,Fairy Tale,Stephen King,4.1,"273,621",1341,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
131,"Iron Widow (Iron Widow, #1)",Xiran Jay Zhao,4.06,"90,950",1320,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
132,"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,4.29,"73,530",1303,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
133,Solutions and Other Problems,Allie Brosh,4.21,"37,278",1287,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
134,"Things We Never Got Over (Knockemout, #1)",Lucy Score,4.15,"889,408",1268,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
135,"Black Sun (Between Earth and Sky, #1)",Rebecca Roanhorse,4.19,"47,693",1262,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
136,The Lost Apothecary,Sarah Penner,3.75,"405,378",1244,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
137,"Love, Theoretically",Ali Hazelwood,4.1,"471,595",1227,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
138,"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson,3.99,"71,887",1215,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
139,"The Man Who Died Twice (Thursday Murder Club, #2)",Richard Osman,4.37,"259,900",1199,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
140,"The Past (VanWest, #1)",Kenneth Thomas,3.9,786,1180,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
141,Small Things Like These,Claire Keegan,4.18,"195,799",1172,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
142,Reminders of Him,Colleen Hoover,4.36,"1,334,026",1161,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
143,"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,3.73,"269,311",1153,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
144,The Maidens,Alex Michaelides,3.62,"369,956",1145,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
145,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,3.86,"78,185",1142,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
146,"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,4.49,"149,651",1115,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
147,The Personal Librarian,Marie Benedict,4.05,"186,169",1102,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
148,The Sentence,Louise Erdrich,3.95,"73,536",1099,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
149,"Any Way the Wind Blows (Simon Snow, #3)",Rainbow Rowell,4.12,"57,191",1075,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
150,"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,4.51,"290,691",1074,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
151,"The Present (VanWest, #2)",Kenneth Thomas,3.64,"2,302",1065,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
152,"Dial A for Aunties (Aunties, #1)",Jesse Q. Sutanto,3.71,"101,764",1065,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
153,"Ruthless Vows (Letters of Enchantment, #2)",Rebecca Ross,4.04,"269,404",1061,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
154,"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,4.2,"484,861",1053,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
155,"Empire of the Vampire (Empire of the Vampire, #1)",Jay Kristoff,4.35,"55,072",1051,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
156,"Spoiler Alert (Spoiler Alert, #1)",Olivia Dade,3.64,"47,965",1042,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
157,The Shadows,Alex North,3.74,"59,487",1038,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
158,Our Missing Hearts,Celeste Ng,3.8,"190,096",1019,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
159,Code Name Hélène,Ariel Lawhon,4.41,"51,044",1009,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
160,"The Charm Offensive (The Charm Offensive, #1)",Alison Cochrun,4.13,"69,720",1001,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
161,The Travelers Within: Into The Unknown,Daniel Mode,4.1,128,997,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
